,school_name,early_career_pay,mid_career_pay,meaning_percentage,stem_percentage,engineering,private_school,religious,art,for_sports_fans,party_school,liberal_arts_school,state_school,research_university,business,sober_school,ivy_league,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,AIAN_enrollment_percentage,Asian_enrollment_percentage,Black_enrollment_percentage,Hispanic_enrollment_percentage,NHPI_enrollment_percentage,non_resident_enrollment_percentage,total_minority_enrollment_percentage,unknown_enrollment_percentage,White_enrollment_percentage,women_enrollment_percentage,school_rank
0,Harvey Mudd College,91400,162500,56,85,True,True,False,True,False,False,True,False,False,False,False,False,CA,Private,4 Year,18127.0,56876.0,75003.0,56876.0,75003.0,804.0,0.004975124378109453,0.20771144278606965,0.01616915422885572,0.09950248756218906,0.0,0.12686567164179105,0.39054726368159204,0.04477611940298507,0.43781094527363185,0.4639303482587065,over_250
1,Massachusetts Institute of Technology,88300,158100,52,69,True,True,False,False,False,False,False,False,True,False,False,False,MA,Private,4 Year,15510.0,51832.0,67342.0,51832.0,67342.0,11319.0,0.0015902464882056719,0.1618517536884884,0.03039137733015284,0.09603321848219808,8.834702712253733e-05,0.2917218835586183,0.3266189592720205,0.05053449951409135,0.3311246576552699,0.37335453661984275,top_50
2,United States Naval Academy,79600,152600,61,58,True,False,False,True,True,False,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,over_250
3,Princeton University,77300,150500,49,48,False,True,False,False,True,False,False,False,True,False,False,True,NJ,Private,4 Year,16290.0,49330.0,65620.0,49330.0,65620.0,8088.0,0.0012363996043521265,0.15850642927794262,0.0586053412462908,0.07059841740850643,0.0008654797230464886,0.20919881305637983,0.3245548961424332,0.034248269040553905,0.431998021760633,0.45363501483679525,top_50
4,California Institute of Technology,87600,150300,56,97,True,True,False,False,False,False,False,False,True,False,False,False,CA,Private,4 Year,15525.0,52362.0,67887.0,52362.0,67887.0,2209.0,0.0018107741059302852,0.26256224535989137,0.012222725215029425,0.07831598008148484,0.0004526935264825713,0.2729741964689905,0.3861475780896333,0.004526935264825713,0.33635129017655047,0.30737890448166594,top_50
5,Harvard University,76400,147700,55,19,False,True,False,False,True,False,False,False,True,False,False,True,,,,,,,,,28791.0,0.0019450522732798443,0.14681671355631967,0.051578618318224446,0.07860095168629086,0.0009725261366399222,0.16630196936542668,0.31624465978951755,0.06119968045569796,0.45625369038935776,0.48518634295439544,top_50
6,Stanford University,81800,147100,56,51,True,True,False,False,True,False,False,False,True,False,False,False,CA,Private,4 Year,15763.0,51354.0,67117.0,51354.0,67117.0,16963.0,0.005777279962270824,0.15504332959971703,0.037316512409361555,0.10310676177562932,0.0017685550904910688,0.22867417320049518,0.3703354359488298,0.03442787242822614,0.36656251842244886,0.4146672168838059,top_50
7,Santa Clara University,71100,146300,45,29,False,True,True,False,True,False,False,False,False,False,False,False,CA,Private,4 Year,14910.0,51711.0,66621.0,51711.0,66621.0,9015.0,0.0011092623405435386,0.15707154742096505,0.026400443704936216,0.142318358291736,0.0022185246810870773,0.13455352190793124,0.38025513033832503,0.07576261785912368,0.4094287298946201,0.5003882418191903,over_250
8,United States Military Academy,81100,146300,62,39,False,False,False,True,True,False,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,over_250
9,Babson College,73000,146200,42,0,False,True,False,False,False,False,False,False,False,True,False,False,MA,Private,4 Year,16312.0,51104.0,67416.0,51104.0,67416.0,3049.0,0.0013119055428009183,0.0898655296818629,0.03902918989832732,0.08002623811085602,0.0006559527714004591,0.29977041653000985,0.22991144637586095,0.0787143325680551,0.39160380452607413,0.4280091833387996,over_250
